ticks-1-60sec,event-beat-b-or-agent-n
167102443,a4
167102443,a5
167102443,a6
167102443,a7
167102443,a7
167102443,a8
167102443,a8
167102444,a2
167102451,a4
167102453,a3
167102454,a5
167102455,a6
167102462,a2
167102465,a8
167102465,b
167102466,a2
167102466,a3
167102466,a4
167102466,a6
167102466,a7
167102466,a8
167102469,a4
167102474,a2
167102486,a8
167102486,a8
167102488,a2
167102488,a3
167102488,a5
167102488,a6
167102488,a7
167102488,a8
167102490,a6
167102494,a5
167102500,a6
167102503,a8
167102503,a2
167102507,a3
167102510,b
167102510,a2
167102510,a3
167102510,a4
167102510,a5
167102510,a6
167102510,a7
167102510,a8
167102511,a4
167102513,a3
167102514,a8
167102516,a2
167102518,a6
167102526,a4
167102532,a8
167102533,a2
167102533,a3
167102533,a4
167102533,a5
167102533,a8
167102534,a4
167102543,a7
167102545,a3
167102551,a3
167102554,a5
167102555,a7
167102556,b
167102556,a1
167102556,a2
167102556,a3
167102556,a4
167102556,a5
167102556,a7
167102556,a8
167102557,a2
167102567,a3
167102571,a4
167102573,a7
167102576,a5
167102577,a8
167102578,a1
167102578,a2
167102578,a3
167102578,a4
167102578,a5
167102578,a6
167102578,a8
167102581,a8
167102587,a5
167102590,a4
167102596,a2
167102598,a5
167102598,a8
167102599,a8
167102600,a3
167102600,a7
167102600,init
167102600,b
167102600,a1
167102600,a3
167102600,a4
167102600,a5
167102600,a6
167102600,a7
167102602,a4
167102603,a2
167102604,a6
167102607,a6
167102611,a5
167102613,a3
167102616,a4
167102623,a2
167102623,a3
167102623,a4
167102623,a5
167102623,a6
167102623,a7
167102623,a8
167102630,a5
